,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
308,2016-17,Lys Mousset,FWD,94,0,12,Middlesbrough,2144,0,52,FALSE,10,0,0,0,71,85,94,0,0
318,2016-17,Matej Vydra,FWD,99,0,7,Hull,16843,0,45,TRUE,10,0,0,0,17,484,99,0,0
324,2016-17,Michail Antonio,FWD,92,9.5,6,Everton,481543,1,70,FALSE,10,43.9,23.2,28,10036,91320,92,2,90
325,2016-17,Michy Batshuayi,FWD,95,0.3,13,Southampton,44768,1,86,FALSE,10,0.5,0.2,2,236,1586,95,0,2
337,2016-17,Odion Ighalo,FWD,99,5.2,7,Hull,175385,2,72,TRUE,10,24.4,0.8,27,4103,10849,99,0,90
340,2016-17,Oliver McBurnie,FWD,96,0,14,Stoke,3562,0,45,FALSE,10,0,0,0,177,231,96,0,0
341,2016-17,Olivier Giroud,FWD,97,10.6,15,Sunderland,29098,12,88,FALSE,10,4.8,65.4,36,1581,793,97,0,22
343,2016-17,Patrick Bamford,FWD,93,0,11,Man Utd,1932,0,50,FALSE,10,0,0,0,117,149,93,0,0
354,2016-17,Roberto Firmino,FWD,91,9.4,5,Crystal Palace,467490,6,85,FALSE,10,7.8,35.8,50,41118,10676,91,2,90
357,2016-17,Romelu Lukaku,FWD,92,16.7,20,West Ham,1296393,12,97,TRUE,10,33.2,60.6,73,139319,10916,92,0,90
363,2016-17,Salomón Rondón,FWD,100,3.3,10,Man City,207014,2,66,TRUE,10,21.3,0.2,11,5838,22757,100,4,90
368,2016-17,Sergio Agüero,FWD,100,18.5,19,West Brom,1713282,16,130,FALSE,10,34.4,79.6,71,15068,96208,100,0,90
370,2016-17,Shane Long,FWD,95,0,4,Chelsea,145756,0,61,TRUE,10,0,0,0,179,10911,95,0,0
380,2016-17,Troy Deeney,FWD,99,6,7,Hull,372062,2,72,TRUE,10,25.4,0,36,47465,16643,99,0,90
405,2016-17,Andre Gray,FWD,103,0,5,Crystal Palace,126926,0,62,TRUE,11,0,0,0,4910,3901,103,0,0
407,2016-17,Andy Carroll,FWD,110,0,14,Stoke,54812,0,62,TRUE,11,0,0,0,56,994,110,0,0
409,2016-17,Anthony Martial,FWD,109,0,16,Swansea,112120,0,93,FALSE,11,0,0,0,161,4755,109,0,0
411,2016-17,Ashley Barnes,FWD,103,5.1,5,Crystal Palace,9993,6,44,TRUE,11,0.3,33.2,17,2908,594,103,0,5
412,2016-17,Ashley Fletcher,FWD,110,0.6,14,Stoke,5811,1,50,TRUE,11,2.3,3.6,0,565,559,110,1,28
421,2016-17,Callum Wilson,FWD,102,0,15,Sunderland,229738,0,66,TRUE,11,0,0,0,38671,17221,102,0,0
424,2016-17,Charlie Austin,FWD,105,18.5,7,Hull,579060,7,67,FALSE,11,27.8,45.2,112,132676,25808,105,2,90
426,2016-17,Christian Benteke,FWD,103,14.7,3,Burnley,294390,6,76,FALSE,11,24.6,44.6,78,13034,43749,103,3,90
432,2016-17,Connor Wickham,FWD,103,5.9,3,Burnley,15267,5,56,FALSE,11,7.8,34.4,17,320,943,103,1,32
439,2016-17,Danny Ings,FWD,107,0,18,Watford,11367,0,55,TRUE,11,0,0,0,257,907,107,0,0
441,2016-17,Danny Welbeck,FWD,101,0,17,Spurs,3170,0,74,TRUE,11,0,0,0,47,91,101,0,0
448,2016-17,Divock Origi,FWD,107,0,18,Watford,70144,0,65,TRUE,11,0,0,0,859,2711,107,0,0
449,2016-17,Dominic Calvert-Lewin,FWD,104,0,4,Chelsea,264,0,45,FALSE,11,0,0,0,215,50,104,0,0
463,2016-17,Hal Robson-Kanu,FWD,106,0,8,Leicester,8319,1,50,FALSE,11,0,0,0,2117,922,106,0,1
465,2016-17,Harry Kane,FWD,101,6.8,1,Arsenal,203826,8,107,FALSE,11,1.8,34.2,32,3539,4217,101,1,72
472,2016-17,Islam Slimani,FWD,106,9,19,West Brom,41899,7,83,TRUE,11,10.6,36.4,43,816,25559,106,2,90
484,2016-17,Jamie Vardy,FWD,106,1,19,West Brom,398908,1,97,TRUE,11,0.3,2,8,8255,18227,106,2,45
487,2016-17,Jay Rodriguez,FWD,105,2.9,7,Hull,7642,1,63,FALSE,11,0.6,2.4,26,17,462,105,0,14
