,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
35,2016-17,Joe Hart,GK,14,0.0,14,Stoke,151164,0,54,False,2,,0.0,0.0,1163,60968,0,0,0.0,0.0,0
36,2016-17,Alex McCarthy,GK,11,0.0,11,Man Utd,9011,0,45,False,2,,0.0,0.0,71,660,0,0,0.0,0.0,0
37,2016-17,Adrián San Miguel del Castillo,GK,20,0.725,2,Bournemouth,112337,9,50,True,2,,0.7295918367346939,0.0,9312,3233,0,90,2.0,2.0,90
38,2016-17,Nick Pope,GK,21,0.0,4,Chelsea,88650,0,40,False,3,,0.0,,2072,4191,0,0,0.0,0.0,0
39,2016-17,Willy Caballero,GK,29,0.24528301886792456,20,West Ham,29321,2,50,True,3,,0.23954372623574144,,7140,3717,1,90,1.0,2.0,181
40,2016-17,Wayne Hennessey,GK,22,0.0,2,Bournemouth,161432,0,45,True,3,,0.0,,8124,14270,0,0,1.0,2.5,180
41,2016-17,Tom Heaton,GK,21,0.8679245283018867,4,Chelsea,247112,3,45,False,3,,0.8669201520912547,,68412,9884,3,90,0.5,7.0,183
42,2016-17,Sergio Romero,GK,24,0.0,7,Hull,4806,0,49,False,3,,0.0,,91,581,0,0,0.0,0.0,0
43,2016-17,Paulo Gazzaniga,GK,26,0.0,15,Sunderland,342,0,45,True,3,,0.0,,8,45,0,0,0.0,0.0,0
44,2016-17,Lukasz Fabianski,GK,25,0.8490566037735849,8,Leicester,121436,10,50,False,3,,0.8631178707224334,,3460,10852,2,90,1.0,4.5,182
45,2016-17,Kasper Schmeichel,GK,25,0.32075471698113206,16,Swansea,513460,1,50,True,3,,0.3193916349809886,,38840,19067,0,56,1.0,5.0,180
46,2016-17,Jordan Pickford,GK,26,0.5283018867924528,13,Southampton,296572,4,40,False,3,,0.5285171102661597,,5440,14025,1,90,0.0,0.0,0
47,2016-17,Jack Butland,GK,23,0.0,6,Everton,117252,0,49,False,3,,0.0,,604,23571,0,0,0.0,0.0,0
48,2016-17,Joe Hart,GK,29,0.0,20,West Ham,112789,0,53,True,3,,0.0,,711,42358,0,0,0.0,0.0,0
49,2016-17,Fraser Forster,GK,26,0.11320754716981132,15,Sunderland,183255,2,50,True,3,,0.11406844106463879,,7039,10284,1,90,1.5,2.0,181
50,2016-17,Eldin Jakupovic,GK,24,1.0,11,Man Utd,691028,4,40,True,3,,1.0,,99061,7957,1,90,0.5,5.0,181
51,2016-17,David de Gea,GK,24,0.32075471698113206,7,Hull,1703167,6,55,False,3,,0.32699619771863114,,47432,38605,0,90,0.5,4.0,180
52,2016-17,Darren Randolph,GK,29,0.0,10,Man City,25040,0,45,False,3,,0.0,,235,1598,0,0,0.0,0.0,0
53,2016-17,Claudio Bravo,GK,29,0.0,20,West Ham,2996,0,55,True,3,,0.0,,2457,553,0,0,0.0,0.0,0
54,2016-17,Ben Foster,GK,30,0.339622641509434,12,Middlesbrough,492368,6,46,True,3,,0.3460076045627376,,74341,17168,0,90,1.0,6.0,180
55,2016-17,Alex McCarthy,GK,26,0.0,15,Sunderland,8837,0,45,True,3,,0.0,,97,559,0,0,0.0,0.0,0
56,2016-17,Adrián San Miguel del Castillo,GK,29,0.32075471698113206,10,Man City,125217,2,50,False,3,,0.3307984790874524,,11749,7135,3,90,1.0,5.5,183
57,2016-17,Hugo Lloris,GK,27,0.0,9,Liverpool,165884,0,54,True,3,,0.0,,342,45437,0,0,2.6470588235294117,2.0,34
58,2016-17,Nick Pope,GK,33,0.0,7,Hull,87389,0,40,True,4,,0.0,,2012,4633,0,0,0.0,0.0,0
59,2016-17,Lee Grant,GK,37,0.0,17,Spurs,376,0,40,True,4,,0.0,,230,19,0,0,0.0,0.0,0
60,2016-17,Lukasz Fabianski,GK,39,0.8863636363636362,4,Chelsea,180342,2,50,True,4,,0.8853211009174312,,43281,8074,2,90,1.3333333333333333,6.333333333333333,272
61,2016-17,Paulo Gazzaniga,GK,31,0.0,1,Arsenal,316,0,45,False,4,,0.0,,9,40,0,0,0.0,0.0,0
62,2016-17,Jack Butland,GK,37,0.0,17,Spurs,93103,0,49,True,4,,0.0,,479,25163,0,0,0.0,0.0,0
63,2016-17,Tom Heaton,GK,33,0.3409090909090909,7,Hull,294603,2,45,True,4,,0.3394495412844037,,54968,18425,1,90,1.3333333333333333,5.666666666666667,271
64,2016-17,Wayne Hennessey,GK,36,0.0,12,Middlesbrough,140734,0,45,False,4,,0.0,,765,21969,0,0,1.0,2.5,180
65,2016-17,Willy Caballero,GK,35,0.0,11,Man Utd,27518,0,50,False,4,,0.0,,2325,5505,0,0,1.0,2.0,270
66,2016-17,Kasper Schmeichel,GK,34,1.0,9,Liverpool,453922,2,50,False,4,,1.0,,3820,69249,4,90,0.7627118644067796,3.6666666666666665,240
67,2016-17,Sergio Romero,GK,35,0.0,10,Man City,4929,0,49,True,4,,0.0,,86,387,0,0,0.0,0.0,0
68,2016-17,Jordan Pickford,GK,40,0.8636363636363635,6,Everton,320617,3,40,True,4,,0.8761467889908258,,35860,19001,3,90,0.0,4.0,0
