,season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
12,2016-17,Andre Gray,FWD,,0,0,-3,0,2.3,68,1,1,0,4.3,0,2016-08-13T14:00:00Z,90,16,Swansea,0,0,0,0,1,0,410883,1,0,42,2,0,0,0,65,TRUE,0,1
14,2016-17,Andy Carroll,FWD,,0,0,7,0,17,468,10,2,0,3.2,10.6,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,0,268504,1,2,4,2,0,0,0,65,FALSE,0,1
16,2016-17,Anthony Martial,FWD,,2,3,35,0,37.3,267,9,1,0,10.4,38.8,2016-08-14T12:30:00Z,84,2,Bournemouth,0,0,0,0,1,0,213574,3,1,28,11,0,0,0,95,FALSE,0,1
18,2016-17,Ashley Barnes,FWD,,0,0,0,0,0,70,1,0,0,0,0,2016-08-13T14:00:00Z,0,16,Swansea,0,0,0,0,1,0,3649,1,0,0,0,0,0,0,45,TRUE,0,1
27,2016-17,Callum Wilson,FWD,,0,0,-1,0,10.8,49,9,3,0,1.5,0,2016-08-14T12:30:00Z,66,11,Man Utd,0,0,0,0,1,0,100715,3,1,9,2,0,0,0,65,TRUE,0,1
30,2016-17,Charlie Austin,FWD,,0,0,2,0,1,314,7,0,0,1,0,2016-08-13T14:00:00Z,8,18,Watford,0,0,0,0,1,0,60547,1,1,11,1,0,0,0,65,TRUE,0,1
32,2016-17,Christian Benteke,FWD,,0,0,0,0,0,213,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,80353,4,3,0,0,0,0,0,75,FALSE,0,1
37,2016-17,Connor Wickham,FWD,,0,0,1,0,8.3,122,2,1,0,1.7,0,2016-08-13T14:00:00Z,90,19,West Brom,0,0,0,0,1,0,43933,1,0,13,2,0,0,0,60,TRUE,0,1
43,2016-17,Danny Ings,FWD,,0,0,0,0,0,216,8,0,0,0,0,2016-08-14T15:00:00Z,0,1,Arsenal,0,0,0,0,1,0,23069,4,3,0,0,0,0,0,60,FALSE,0,1
45,2016-17,Danny Welbeck,FWD,,0,0,0,0,0,26,8,0,0,0,0,2016-08-14T15:00:00Z,0,9,Liverpool,0,0,0,0,1,0,2706,4,3,0,0,0,0,0,75,TRUE,0,1
51,2016-17,Divock Origi,FWD,,0,0,1,0,10.5,217,8,0,0,1.4,3.2,2016-08-14T15:00:00Z,15,1,Arsenal,0,0,0,0,1,0,205220,4,3,0,1,0,0,0,70,FALSE,0,1
66,2016-17,Harry Kane,FWD,,0,0,5,0,15.3,403,3,1,0,1.9,0,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,618838,1,1,4,2,0,0,0,110,FALSE,0,1
84,2016-17,Jamie Vardy,FWD,,0,0,1,0,22.5,184,4,2,0,5.8,3.2,2016-08-13T11:30:00Z,90,7,Hull,0,0,0,0,1,0,864018,1,2,32,2,0,0,0,100,FALSE,0,1
86,2016-17,Jay Rodriguez,FWD,,0,0,0,0,0,311,7,0,0,0,0,2016-08-13T14:00:00Z,0,18,Watford,0,0,0,0,1,0,17749,1,1,0,0,0,0,0,65,TRUE,0,1
99,2016-17,Joshua King,FWD,,0,0,5,0,13.5,48,9,3,0,5,4.2,2016-08-14T12:30:00Z,90,11,Man Utd,0,0,0,0,1,0,21974,3,1,32,2,0,0,0,55,TRUE,0,1
102,2016-17,Kelechi Iheanacho,FWD,,0,0,0,0,0.3,241,5,0,0,3.1,2.4,2016-08-13T16:30:00Z,11,15,Sunderland,0,0,0,0,1,0,62986,1,2,28,1,0,0,0,70,TRUE,0,1
110,2016-17,Lys Mousset,FWD,,0,0,0,0,0,53,9,0,0,0,0,2016-08-14T12:30:00Z,0,11,Man Utd,0,0,0,0,1,0,2498,3,1,0,0,0,0,0,55,TRUE,0,1
119,2016-17,Matej Vydra,FWD,,0,0,0,0,0,483,7,0,0,0,0,2016-08-13T14:00:00Z,0,13,Southampton,0,0,0,0,1,0,31635,1,1,0,0,0,0,0,45,FALSE,0,1
125,2016-17,Michail Antonio,FWD,,0,0,0,0,0.4,464,10,1,0,0,0,2016-08-15T19:00:00Z,51,4,Chelsea,0,0,0,0,1,0,150803,1,2,0,0,0,0,0,70,FALSE,1,1
126,2016-17,Michy Batshuayi,FWD,,1,0,13,0,11.3,96,10,0,0,2.8,17,2016-08-15T19:00:00Z,6,20,West Ham,0,0,0,0,1,0,81576,1,2,0,4,0,0,0,90,TRUE,0,1
136,2016-17,Odion Ighalo,FWD,,0,0,2,0,8.8,426,7,1,0,1,0,2016-08-13T14:00:00Z,80,13,Southampton,0,0,0,0,1,0,315735,1,1,2,2,0,0,0,75,FALSE,0,1
139,2016-17,Olivier Giroud,FWD,,0,0,0,0,0,25,8,0,0,0,0,2016-08-14T15:00:00Z,0,9,Liverpool,0,0,0,0,1,0,50997,4,3,0,0,0,0,0,90,TRUE,0,1
151,2016-17,Roberto Firmino,FWD,,0,0,4,0,21,209,8,3,0,6,4.2,2016-08-14T15:00:00Z,90,1,Arsenal,0,0,0,0,1,0,352480,4,3,35,2,0,0,0,85,FALSE,0,1
154,2016-17,Romelu Lukaku,FWD,,0,0,0,0,0,143,3,0,0,0,0,2016-08-13T14:00:00Z,0,17,Spurs,0,0,0,0,1,0,266716,1,1,0,0,0,0,0,90,TRUE,0,1
159,2016-17,Salomón Rondón,FWD,,0,2,30,1,33.8,449,2,0,1,16.2,39,2016-08-13T14:00:00Z,90,5,Crystal Palace,0,0,0,0,1,0,72960,1,0,89,8,0,0,0,65,FALSE,0,1
164,2016-17,Sergio Agüero,FWD,,0,3,33,0,29.6,239,5,1,1,14.3,32.6,2016-08-13T16:30:00Z,90,15,Sunderland,0,0,0,0,1,0,1380299,1,2,81,9,0,0,0,130,TRUE,0,1
166,2016-17,Shane Long,FWD,,0,0,1,0,13.8,313,7,1,0,2.3,0,2016-08-13T14:00:00Z,82,18,Watford,0,0,0,0,1,0,481848,1,1,11,2,0,0,0,65,TRUE,0,1
174,2016-17,Troy Deeney,FWD,,1,0,17,0,15.8,425,7,1,0,4.8,22,2016-08-13T14:00:00Z,90,13,Southampton,0,0,0,0,1,0,158276,1,1,10,5,0,0,0,70,FALSE,0,1
199,2016-17,Andre Gray,FWD,,0,0,6,0,20,68,93,0,0,3.5,3,2016-10-29T14:00:00Z,59,11,Man Utd,0,0,0,0,10,0,125627,0,0,12,1,-2259,1502,3761,62,FALSE,0,10
201,2016-17,Andy Carroll,FWD,,0,0,0,0,0,468,92,0,0,0,0,2016-10-30T13:30:00Z,0,6,Everton,0,0,0,0,10,0,55717,0,2,0,0,-978,30,1008,62,FALSE,0,10
203,2016-17,Anthony Martial,FWD,,0,0,0,0,0,267,93,0,0,0,0,2016-10-29T14:00:00Z,0,3,Burnley,0,0,0,0,10,0,116498,0,0,0,0,-3556,386,3942,93,TRUE,0,10
205,2016-17,Ashley Barnes,FWD,,0,0,3,0,11.3,70,93,0,0,2.2,1,2016-10-29T14:00:00Z,31,11,Man Utd,0,0,0,0,10,0,7037,0,0,10,1,-130,175,305,44,FALSE,0,10
206,2016-17,Ashley Fletcher,FWD,,0,0,0,0,0,535,92,0,0,0,0,2016-10-30T13:30:00Z,0,6,Everton,0,0,0,0,10,0,5606,0,2,0,0,-117,358,475,50,FALSE,0,10
215,2016-17,Callum Wilson,FWD,,0,0,2,0,3.3,49,94,2,0,1.3,0,2016-10-29T14:00:00Z,59,12,Middlesbrough,0,0,0,0,10,0,206607,0,2,10,1,53671,59884,6213,66,FALSE,0,10
218,2016-17,Charlie Austin,FWD,,0,0,4,0,4.4,314,95,2,0,3.4,0,2016-10-30T16:00:00Z,90,4,Chelsea,0,0,0,0,10,0,466390,2,0,30,2,75601,91472,15871,66,TRUE,0,10
220,2016-17,Christian Benteke,FWD,,0,0,1,0,5.7,213,91,4,0,7.5,8.6,2016-10-29T16:30:00Z,90,9,Liverpool,0,0,0,0,10,0,323658,4,2,61,2,-19052,14197,33249,77,TRUE,0,10
226,2016-17,Connor Wickham,FWD,,0,0,0,0,0,122,91,0,0,0,0,2016-10-29T16:30:00Z,0,9,Liverpool,0,0,0,0,10,0,15809,4,2,0,0,-589,232,821,56,TRUE,0,10
233,2016-17,Danny Ings,FWD,,0,0,0,0,0,216,91,0,0,0,0,2016-10-29T16:30:00Z,0,5,Crystal Palace,0,0,0,0,10,0,11883,4,2,0,0,-170,280,450,55,FALSE,0,10
235,2016-17,Danny Welbeck,FWD,,0,0,0,0,0,26,97,0,0,0,0,2016-10-29T11:30:00Z,0,15,Sunderland,0,0,0,0,10,0,3145,4,1,0,0,-33,74,107,74,FALSE,0,10
242,2016-17,Divock Origi,FWD,,0,0,3,0,1.3,217,91,0,0,0.1,0,2016-10-29T16:30:00Z,2,5,Crystal Palace,0,0,0,0,10,0,71478,4,2,0,1,-1696,843,2539,66,FALSE,0,10
243,2016-17,Dominic Calvert-Lewin,FWD,,0,0,0,0,0,595,92,0,0,0,0,2016-10-30T13:30:00Z,0,20,West Ham,0,0,0,0,10,0,0,0,2,0,0,0,0,0,45,TRUE,0,10
257,2016-17,Hal Robson-Kanu,FWD,,0,0,1,0,0.3,571,100,1,0,0,0,2016-10-29T14:00:00Z,4,10,Man City,0,0,0,0,10,0,6825,4,0,0,1,1276,1756,480,50,TRUE,0,10
259,2016-17,Harry Kane,FWD,,0,0,0,0,0,403,98,0,0,0,0,2016-10-29T14:00:00Z,0,8,Leicester,0,0,0,0,10,0,204091,1,1,0,0,-5610,397,6007,107,TRUE,0,10
266,2016-17,Islam Slimani,FWD,,0,0,0,0,0,567,98,0,0,0,0,2016-10-29T14:00:00Z,0,17,Spurs,0,0,0,0,10,0,66349,1,1,0,0,-5389,5234,10623,85,FALSE,0,10
278,2016-17,Jamie Vardy,FWD,,1,0,14,0,15.1,184,98,1,0,3.7,15.4,2016-10-29T14:00:00Z,90,17,Spurs,0,0,0,0,10,0,407297,1,1,6,4,-29754,1748,31502,97,FALSE,1,10
281,2016-17,Jay Rodriguez,FWD,,0,0,0,0,0,311,95,0,0,0,0,2016-10-30T16:00:00Z,0,4,Chelsea,0,0,0,0,10,0,8083,2,0,0,0,-345,37,382,63,TRUE,0,10
295,2016-17,Joshua King,FWD,,0,0,-6,0,4.9,48,94,2,0,5.7,1.6,2016-10-29T14:00:00Z,90,12,Middlesbrough,0,0,0,0,10,0,34292,0,2,50,2,3117,4718,1601,54,FALSE,0,10
298,2016-17,Kelechi Iheanacho,FWD,,0,0,0,0,0,241,100,0,0,0,0,2016-10-29T14:00:00Z,0,19,West Brom,0,0,0,0,10,0,188900,4,0,0,0,28499,36726,8227,68,FALSE,0,10
308,2016-17,Lys Mousset,FWD,,0,0,0,0,0,53,94,0,0,0,0,2016-10-29T14:00:00Z,0,12,Middlesbrough,0,0,0,0,10,0,2144,0,2,0,0,-14,71,85,52,FALSE,0,10
318,2016-17,Matej Vydra,FWD,,0,0,0,0,0,483,99,0,0,0,0,2016-10-29T14:00:00Z,0,7,Hull,0,0,0,0,10,0,16843,0,1,0,0,-467,17,484,45,TRUE,0,10
324,2016-17,Michail Antonio,FWD,,0,0,4,0,43.9,464,92,2,0,9.5,23.2,2016-10-30T13:30:00Z,90,6,Everton,0,0,0,0,10,0,481543,0,2,28,1,-81284,10036,91320,70,FALSE,1,10
325,2016-17,Michy Batshuayi,FWD,,0,0,1,0,0.5,96,95,0,0,0.3,0.2,2016-10-30T16:00:00Z,2,13,Southampton,0,0,0,0,10,0,44768,2,0,2,1,-1350,236,1586,86,FALSE,0,10
337,2016-17,Odion Ighalo,FWD,,0,0,6,1,24.4,426,99,0,0,5.2,0.8,2016-10-29T14:00:00Z,90,7,Hull,0,0,0,0,10,0,175385,0,1,27,2,-6746,4103,10849,72,TRUE,0,10
340,2016-17,Oliver McBurnie,FWD,,0,0,0,0,0,546,96,0,0,0,0,2016-10-31T20:00:00Z,0,14,Stoke,0,0,0,0,10,0,3562,1,3,0,0,-54,177,231,45,FALSE,0,10
341,2016-17,Olivier Giroud,FWD,,0,3,53,0,4.8,25,97,0,2,10.6,65.4,2016-10-29T11:30:00Z,22,15,Sunderland,0,0,0,0,10,0,29098,4,1,36,12,788,1581,793,88,FALSE,0,10
343,2016-17,Patrick Bamford,FWD,,0,0,0,0,0,553,93,0,0,0,0,2016-10-29T14:00:00Z,0,11,Man Utd,0,0,0,0,10,0,1932,0,0,0,0,-32,117,149,50,FALSE,0,10
354,2016-17,Roberto Firmino,FWD,,0,0,18,0,7.8,209,91,2,1,9.4,35.8,2016-10-29T16:30:00Z,90,5,Crystal Palace,0,0,0,0,10,0,467490,4,2,50,6,30442,41118,10676,85,FALSE,1,10
357,2016-17,Romelu Lukaku,FWD,,1,3,51,1,33.2,143,92,0,1,16.7,60.6,2016-10-30T13:30:00Z,90,20,West Ham,0,0,0,0,10,0,1296393,0,2,73,12,128403,139319,10916,97,TRUE,0,10
363,2016-17,Salomón Rondón,FWD,,0,0,0,0,21.3,449,100,4,0,3.3,0.2,2016-10-29T14:00:00Z,90,10,Man City,0,0,0,0,10,0,207014,4,0,11,2,-16919,5838,22757,66,TRUE,0,10
368,2016-17,Sergio Agüero,FWD,,1,3,77,1,34.4,239,100,0,2,18.5,79.6,2016-10-29T14:00:00Z,90,19,West Brom,0,0,0,0,10,0,1713282,4,0,71,16,-81140,15068,96208,130,FALSE,0,10
370,2016-17,Shane Long,FWD,,0,0,0,0,0,313,95,0,0,0,0,2016-10-30T16:00:00Z,0,4,Chelsea,0,0,0,0,10,0,145756,2,0,0,0,-10732,179,10911,61,TRUE,0,10
380,2016-17,Troy Deeney,FWD,,0,0,0,1,25.4,425,99,0,0,6,0,2016-10-29T14:00:00Z,90,7,Hull,0,0,0,0,10,0,372062,0,1,36,2,30822,47465,16643,72,TRUE,0,10
405,2016-17,Andre Gray,FWD,,0,0,0,0,0,68,103,0,0,0,0,2016-11-05T15:00:00Z,0,5,Crystal Palace,0,0,0,0,11,0,126926,2,3,0,0,1009,4910,3901,62,TRUE,0,11
407,2016-17,Andy Carroll,FWD,,0,0,0,0,0,468,110,0,0,0,0,2016-11-05T15:00:00Z,0,14,Stoke,0,0,0,0,11,0,54812,1,1,0,0,-938,56,994,62,TRUE,0,11
409,2016-17,Anthony Martial,FWD,,0,0,0,0,0,267,109,0,0,0,0,2016-11-06T15:00:00Z,0,16,Swansea,0,0,0,0,11,0,112120,3,1,0,0,-4594,161,4755,93,FALSE,0,11
411,2016-17,Ashley Barnes,FWD,,0,1,29,0,0.3,70,103,0,1,5.1,33.2,2016-11-05T15:00:00Z,5,5,Crystal Palace,0,0,0,0,11,0,9993,2,3,17,6,2314,2908,594,44,TRUE,0,11
412,2016-17,Ashley Fletcher,FWD,,0,0,1,0,2.3,535,110,1,0,0.6,3.6,2016-11-05T15:00:00Z,28,14,Stoke,0,0,0,0,11,0,5811,1,1,0,1,6,565,559,50,TRUE,0,11
421,2016-17,Callum Wilson,FWD,,0,0,0,0,0,49,102,0,0,0,0,2016-11-05T15:00:00Z,0,15,Sunderland,0,0,0,0,11,0,229738,2,1,0,0,21450,38671,17221,66,TRUE,0,11
424,2016-17,Charlie Austin,FWD,,0,1,29,0,27.8,314,105,2,1,18.5,45.2,2016-11-06T14:15:00Z,90,7,Hull,0,0,0,0,11,0,579060,1,2,112,7,106868,132676,25808,67,FALSE,0,11
426,2016-17,Christian Benteke,FWD,,0,0,26,0,24.6,213,103,3,1,14.7,44.6,2016-11-05T15:00:00Z,90,3,Burnley,0,0,0,0,11,0,294390,2,3,78,6,-30715,13034,43749,76,FALSE,0,11
432,2016-17,Connor Wickham,FWD,,0,0,26,0,7.8,122,103,1,1,5.9,34.4,2016-11-05T15:00:00Z,32,3,Burnley,0,0,0,0,11,0,15267,2,3,17,5,-623,320,943,56,FALSE,0,11
439,2016-17,Danny Ings,FWD,,0,0,0,0,0,216,107,0,0,0,0,2016-11-06T14:15:00Z,0,18,Watford,0,0,0,0,11,0,11367,1,6,0,0,-650,257,907,55,TRUE,0,11
441,2016-17,Danny Welbeck,FWD,,0,0,0,0,0,26,101,0,0,0,0,2016-11-06T12:00:00Z,0,17,Spurs,0,0,0,0,11,0,3170,1,1,0,0,-44,47,91,74,TRUE,0,11
448,2016-17,Divock Origi,FWD,,0,0,0,0,0,217,107,0,0,0,0,2016-11-06T14:15:00Z,0,18,Watford,0,0,0,0,11,0,70144,1,6,0,0,-1852,859,2711,65,TRUE,0,11
449,2016-17,Dominic Calvert-Lewin,FWD,,0,0,0,0,0,595,104,0,0,0,0,2016-11-05T17:30:00Z,0,4,Chelsea,0,0,0,0,11,0,264,0,5,0,0,165,215,50,45,FALSE,0,11
463,2016-17,Hal Robson-Kanu,FWD,,0,0,3,0,0,571,106,0,0,0,0,2016-11-06T16:30:00Z,1,8,Leicester,0,0,0,0,11,0,8319,2,1,0,1,1195,2117,922,50,FALSE,0,11
465,2016-17,Harry Kane,FWD,,0,2,26,0,1.8,403,101,1,1,6.8,34.2,2016-11-06T12:00:00Z,72,1,Arsenal,0,0,0,0,11,0,203826,1,1,32,8,-678,3539,4217,107,FALSE,0,11
472,2016-17,Islam Slimani,FWD,,0,1,31,0,10.6,567,106,2,1,9,36.4,2016-11-06T16:30:00Z,90,19,West Brom,0,0,0,0,11,0,41899,2,1,43,7,-24743,816,25559,83,TRUE,0,11
484,2016-17,Jamie Vardy,FWD,,0,0,3,0,0.3,184,106,2,0,1,2,2016-11-06T16:30:00Z,45,19,West Brom,0,0,0,0,11,0,398908,2,1,8,1,-9972,8255,18227,97,TRUE,0,11
487,2016-17,Jay Rodriguez,FWD,,0,0,3,0,0.6,311,105,0,0,2.9,2.4,2016-11-06T14:15:00Z,14,7,Hull,0,0,0,0,11,0,7642,1,2,26,1,-445,17,462,63,FALSE,0,11
501,2016-17,Joshua King,FWD,,0,0,-2,0,15.5,48,102,2,0,8.6,6.4,2016-11-05T15:00:00Z,90,15,Sunderland,0,0,0,0,11,0,37562,2,1,64,1,2827,5689,2862,54,TRUE,1,11
504,2016-17,Kelechi Iheanacho,FWD,,0,0,3,0,0,241,108,1,0,0,0,2016-11-05T15:00:00Z,1,12,Middlesbrough,0,0,0,0,11,0,165027,1,1,0,1,-25874,9698,35572,68,TRUE,0,11
514,2016-17,Lys Mousset,FWD,,0,0,0,0,11.8,53,102,0,0,2.1,0,2016-11-05T15:00:00Z,15,15,Sunderland,0,0,0,0,11,0,2186,2,1,10,1,-2,95,97,52,TRUE,0,11
524,2016-17,Matej Vydra,FWD,,0,0,0,0,0,483,107,0,0,0,0,2016-11-06T14:15:00Z,0,9,Liverpool,0,0,0,0,11,0,16345,1,6,0,0,-502,29,531,45,FALSE,0,11
530,2016-17,Michail Antonio,FWD,,1,0,14,0,7.3,464,110,1,0,4.2,2.4,2016-11-05T15:00:00Z,90,14,Stoke,0,0,0,0,11,0,417670,1,1,32,4,-65130,16840,81970,69,TRUE,1,11
531,2016-17,Michy Batshuayi,FWD,,0,0,5,0,2.6,96,104,0,0,1.4,3.4,2016-11-05T17:30:00Z,11,6,Everton,0,0,0,0,11,0,43683,0,5,8,1,-1383,191,1574,86,TRUE,0,11
543,2016-17,Odion Ighalo,FWD,,0,0,7,0,15.5,426,107,6,0,2.8,3.6,2016-11-06T14:15:00Z,90,9,Liverpool,0,0,0,0,11,0,159337,1,6,9,2,-16398,735,17133,71,FALSE,0,11
546,2016-17,Oliver McBurnie,FWD,,0,0,0,0,0,546,109,0,0,0,0,2016-11-06T15:00:00Z,0,11,Man Utd,0,0,0,0,11,0,3598,3,1,0,0,-18,230,248,45,TRUE,0,11
547,2016-17,Olivier Giroud,FWD,,0,0,3,0,3.1,25,101,0,0,2.8,3.4,2016-11-06T12:00:00Z,21,17,Spurs,0,0,0,0,11,0,61197,1,1,21,1,29642,31687,2045,88,TRUE,0,11
549,2016-17,Patrick Bamford,FWD,,0,0,0,0,0,553,103,0,0,0,0,2016-11-05T15:00:00Z,0,5,Crystal Palace,0,0,0,0,11,0,2042,2,3,0,0,47,252,205,50,TRUE,0,11
560,2016-17,Roberto Firmino,FWD,,2,2,48,0,46.3,209,107,1,1,20.6,70.4,2016-11-06T14:15:00Z,90,18,Watford,0,0,0,0,11,0,539612,1,6,89,15,67471,81616,14145,86,TRUE,0,11
563,2016-17,Romelu Lukaku,FWD,,0,0,2,0,8.6,143,104,5,0,1.4,3.8,2016-11-05T17:30:00Z,90,4,Chelsea,0,0,0,0,11,0,1384047,0,5,2,2,73770,124059,50289,98,FALSE,0,11
569,2016-17,Salomón Rondón,FWD,,0,0,3,0,16.9,449,106,1,0,7,4.4,2016-11-06T16:30:00Z,90,8,Leicester,0,0,0,0,11,0,192045,2,1,49,2,-15750,8351,24101,66,FALSE,0,11
574,2016-17,Sergio Agüero,FWD,,0,1,23,1,34.9,239,108,0,1,21.5,44.6,2016-11-05T15:00:00Z,89,12,Middlesbrough,0,0,0,0,11,0,1892654,1,1,135,6,166510,172324,5814,131,TRUE,1,11
576,2016-17,Shane Long,FWD,,0,0,0,0,0,313,105,0,0,0,0,2016-11-06T14:15:00Z,0,7,Hull,0,0,0,0,11,0,137875,1,2,0,0,-7960,190,8150,61,FALSE,0,11
586,2016-17,Troy Deeney,FWD,,0,0,6,0,15.2,425,107,6,0,4.5,5.8,2016-11-06T14:15:00Z,90,9,Liverpool,0,0,0,0,11,0,295440,1,6,24,2,-77743,6133,83876,71,FALSE,0,11
611,2016-17,Andre Gray,FWD,,0,0,3,0,0.5,68,120,0,0,0.1,0.2,2016-11-21T20:00:00Z,21,19,West Brom,0,0,0,0,12,0,122862,0,4,0,1,-4443,1547,5990,62,FALSE,0,12
613,2016-17,Andy Carroll,FWD,,0,0,0,0,0,468,118,0,0,0,0,2016-11-19T17:30:00Z,0,17,Spurs,0,0,0,0,12,0,54055,2,3,0,0,-810,79,889,62,FALSE,0,12
615,2016-17,Anthony Martial,FWD,,0,0,8,1,1.7,267,113,0,0,4.7,12,2016-11-19T12:30:00Z,62,1,Arsenal,0,0,0,0,12,0,110375,1,1,33,3,-2620,246,2866,93,TRUE,0,12
617,2016-17,Ashley Barnes,FWD,,0,0,2,0,2.3,70,120,1,0,0.8,0,2016-11-21T20:00:00Z,45,19,West Brom,0,0,0,0,12,0,32798,0,4,8,1,19862,22430,2568,44,FALSE,0,12
618,2016-17,Ashley Fletcher,FWD,,0,0,0,0,0,535,118,0,0,0,0,2016-11-19T17:30:00Z,0,17,Spurs,0,0,0,0,12,0,6129,2,3,0,0,61,587,526,50,FALSE,0,12
627,2016-17,Callum Wilson,FWD,,0,0,-2,1,3.8,49,116,0,0,0.9,0,2016-11-19T15:00:00Z,68,14,Stoke,0,0,0,0,12,0,147693,1,0,8,2,-82303,814,83117,65,FALSE,0,12
630,2016-17,Charlie Austin,FWD,,0,0,7,1,13.8,314,115,0,0,3.1,3,2016-11-19T15:00:00Z,74,9,Liverpool,0,0,0,0,12,0,624733,0,0,14,2,38451,75170,36719,68,TRUE,0,12
632,2016-17,Christian Benteke,FWD,,0,0,1,0,1.6,213,111,1,0,4.1,0,2016-11-19T15:00:00Z,80,10,Man City,0,0,0,0,12,0,271025,2,1,44,2,-25323,9240,34563,76,TRUE,0,12
638,2016-17,Connor Wickham,FWD,,0,0,20,0,3.8,122,111,1,1,5.5,30.2,2016-11-19T15:00:00Z,45,10,Man City,0,0,0,0,12,0,16690,2,1,21,4,1157,1833,676,56,TRUE,1,12
645,2016-17,Danny Ings,FWD,,0,0,0,0,0,216,115,0,0,0,0,2016-11-19T15:00:00Z,0,13,Southampton,0,0,0,0,12,0,10737,0,0,0,0,-725,51,776,55,FALSE,0,12
647,2016-17,Danny Welbeck,FWD,,0,0,0,0,0,26,113,0,0,0,0,2016-11-19T12:30:00Z,0,11,Man Utd,0,0,0,0,12,0,3237,1,1,0,0,-43,87,130,74,FALSE,0,12
654,2016-17,Divock Origi,FWD,,0,0,4,0,0.3,217,115,0,0,0.2,1.2,2016-11-19T15:00:00Z,1,13,Southampton,0,0,0,0,12,0,68950,0,0,0,1,-1898,914,2812,65,FALSE,0,12
655,2016-17,Dominic Calvert-Lewin,FWD,,0,0,0,0,0,595,112,0,0,0,0,2016-11-19T15:00:00Z,0,16,Swansea,0,0,0,0,12,0,721,1,1,0,0,239,357,118,45,TRUE,0,12
669,2016-17,Hal Robson-Kanu,FWD,,0,0,2,0,0.5,571,120,0,0,0,0,2016-11-21T20:00:00Z,12,3,Burnley,0,0,0,0,12,0,9598,0,4,0,1,897,1994,1097,50,TRUE,0,12
671,2016-17,Harry Kane,FWD,,0,3,57,0,2.6,403,118,2,2,11.1,65,2016-11-19T17:30:00Z,90,20,West Ham,0,0,0,0,12,0,246693,2,3,43,13,39848,42536,2688,107,TRUE,0,12
678,2016-17,Islam Slimani,FWD,,0,0,0,0,0,567,119,0,0,0,0,2016-11-19T15:00:00Z,0,18,Watford,0,0,0,0,12,0,44698,1,2,0,0,1423,6219,4796,83,FALSE,0,12
690,2016-17,Jamie Vardy,FWD,,1,0,12,0,13.8,184,119,2,0,2.9,0,2016-11-19T15:00:00Z,90,18,Watford,0,0,0,0,12,0,386606,1,2,15,5,-14598,6172,20770,96,FALSE,0,12
693,2016-17,Jay Rodriguez,FWD,,0,0,5,0,0.5,311,115,0,0,0.2,1.2,2016-11-19T15:00:00Z,16,9,Liverpool,0,0,0,0,12,0,7580,0,0,0,1,-112,43,155,63,TRUE,0,12
707,2016-17,Joshua King,FWD,,0,0,-4,1,3,48,116,0,0,2.3,0,2016-11-19T15:00:00Z,80,14,Stoke,0,0,0,0,12,0,34299,1,0,21,3,-3505,578,4083,54,FALSE,0,12
710,2016-17,Kelechi Iheanacho,FWD,,0,0,0,0,0,241,111,0,0,0,0,2016-11-19T15:00:00Z,0,5,Crystal Palace,0,0,0,0,12,0,148151,2,1,0,0,-19146,5425,24571,67,FALSE,0,12
720,2016-17,Lys Mousset,FWD,,0,0,0,0,0,53,116,0,0,0,0,2016-11-19T15:00:00Z,0,14,Stoke,0,0,0,0,12,0,2300,1,0,0,0,26,137,111,52,FALSE,0,12
730,2016-17,Matej Vydra,FWD,,0,0,0,0,0,483,119,0,0,0,0,2016-11-19T15:00:00Z,0,8,Leicester,0,0,0,0,12,0,15884,1,2,0,0,-466,26,492,45,TRUE,0,12
736,2016-17,Michail Antonio,FWD,,0,0,29,0,10.3,464,118,3,1,15.3,53.8,2016-11-19T17:30:00Z,90,17,Spurs,0,0,0,0,12,0,381257,2,3,89,6,-37959,10322,48281,68,FALSE,1,12
737,2016-17,Michy Batshuayi,FWD,,0,0,0,0,0,96,114,0,0,0,0,2016-11-20T16:00:00Z,0,12,Middlesbrough,0,0,0,0,12,0,43194,1,0,0,0,-967,463,1430,86,FALSE,0,12
749,2016-17,Odion Ighalo,FWD,,0,0,0,0,0,426,119,0,0,0,0,2016-11-19T15:00:00Z,0,8,Leicester,0,0,0,0,12,0,151582,1,2,0,0,-8309,1347,9656,71,TRUE,0,12
752,2016-17,Oliver McBurnie,FWD,,0,0,0,0,0,546,112,0,0,0,0,2016-11-19T15:00:00Z,0,6,Everton,0,0,0,0,12,0,3736,1,1,0,0,43,296,253,45,FALSE,0,12
753,2016-17,Olivier Giroud,FWD,,0,2,27,0,1.3,25,113,0,1,8.4,33,2016-11-19T12:30:00Z,18,11,Man Utd,0,0,0,0,12,0,60335,1,1,50,7,-2927,8000,10927,88,FALSE,0,12
