,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
140,2016-17,Oriol Romeu Vidal,MID,7,3.5,18,Watford,7046,2,45,TRUE,1,5.3,21.6,8,0,0,7,1,90
143,2016-17,Paul Pogba,MID,9,0,2,Bournemouth,315678,0,85,FALSE,1,0,0,0,0,0,9,0,0
147,2016-17,Pierre-Emile Højbjerg,MID,7,3.1,18,Watford,107510,1,45,TRUE,1,15.7,6.2,9,0,0,7,0,36
148,2016-17,Raheem Sterling,MID,5,4.1,15,Sunderland,36311,5,80,TRUE,1,17.9,5.8,17,0,0,5,1,90
149,2016-17,Riyad Mahrez,MID,4,11.4,7,Hull,929324,8,95,FALSE,1,18.3,38,58,0,0,4,2,90
152,2016-17,Robert Snodgrass,MID,4,12,8,Leicester,15838,10,55,TRUE,1,37.7,46.6,36,0,0,4,1,90
155,2016-17,Ross Barkley,MID,3,11.7,17,Spurs,254900,10,75,TRUE,1,36.2,45.2,36,0,0,3,1,90
156,2016-17,Ruben Loftus-Cheek,MID,10,0,20,West Ham,4699,0,55,TRUE,1,0,0,0,0,0,10,0,0
158,2016-17,Sadio Mané,MID,8,11.6,1,Arsenal,481787,7,90,FALSE,1,8.2,43.2,65,0,0,8,3,90
161,2016-17,Sam Field,MID,2,0,5,Crystal Palace,0,0,45,FALSE,1,0,0,0,0,0,2,0,0
167,2016-17,Theo Walcott,MID,8,10.5,9,Liverpool,48930,5,75,TRUE,1,20,46.6,38,0,0,8,4,90
170,2016-17,Tom Cleverley,MID,3,0.3,17,Spurs,9498,1,55,TRUE,1,0.3,2.2,0,0,0,3,0,6
171,2016-17,Tom Davies,MID,3,0,17,Spurs,0,0,45,TRUE,1,0,0,0,0,0,3,0,0
179,2016-17,Wilfried Zaha,MID,2,5.7,19,West Brom,70519,1,55,TRUE,1,2.9,15.2,39,0,0,2,1,90
180,2016-17,Willian Borges Da Silva,MID,10,9.1,20,West Ham,333351,2,75,TRUE,1,52.1,12.6,26,0,0,10,1,79
183,2016-17,Xherdan Shaqiri,MID,6,8.1,12,Middlesbrough,260912,9,65,FALSE,1,18.7,36.2,26,0,0,6,1,90
185,2016-17,Aaron Lennon,MID,92,0.4,20,West Ham,7659,1,56,TRUE,10,0.3,3.2,0,36,209,92,0,4
186,2016-17,Aaron Ramsey,MID,97,4.8,15,Sunderland,39726,4,76,FALSE,10,21.8,16,10,396,485,97,0,14
187,2016-17,Abdoulaye Doucouré,MID,99,0,7,Hull,685,0,47,TRUE,10,0,0,0,6,28,99,0,0
188,2016-17,Adama Traoré,MID,94,1.2,2,Bournemouth,6388,3,48,TRUE,10,3,6.6,2,5769,114,94,0,90
189,2016-17,Adam Forshaw,MID,94,5.2,2,Bournemouth,4171,3,45,TRUE,10,42.4,9.8,0,308,177,94,0,90
190,2016-17,Adam Lallana,MID,91,2.6,5,Crystal Palace,461922,2,71,FALSE,10,3.9,9.2,13,34604,20261,91,2,75
193,2016-17,Alex Iwobi,MID,97,1.7,15,Sunderland,64484,2,58,FALSE,10,9.4,0,8,5902,7833,97,1,68
195,2016-17,Alex Oxlade-Chamberlain,MID,97,11,15,Sunderland,55923,5,58,FALSE,10,33.5,27.2,49,3881,2040,97,1,76
197,2016-17,Andreas Pereira,MID,93,0,3,Burnley,2129,0,44,TRUE,10,0,0,0,1,41,93,0,0
200,2016-17,Andros Townsend,MID,91,0.3,9,Liverpool,128797,1,62,TRUE,10,1.2,1.6,0,771,13577,91,1,25
208,2016-17,Bamidele Alli,MID,98,3.4,8,Leicester,279778,2,82,TRUE,10,13.5,3.6,17,15723,9375,98,1,82
219,2016-17,Cheikhou Kouyaté,MID,92,2.2,6,Everton,45805,2,52,FALSE,10,0.9,21.4,0,618,2236,92,2,90
221,2016-17,Christian Eriksen,MID,98,12.9,8,Leicester,217278,2,82,TRUE,10,69.8,17.2,42,1924,10123,98,1,90
232,2016-17,Daniel James,MID,96,0,14,Stoke,0,0,45,FALSE,10,0,0,0,0,0,96,0,0
236,2016-17,Dan Gosling,MID,94,1,12,Middlesbrough,5510,1,47,FALSE,10,1.6,6.8,2,349,194,94,0,18
241,2016-17,Demarai Gray,MID,98,0,17,Spurs,26735,0,49,FALSE,10,0,0,0,146,1642,98,0,0
247,2016-17,Erik Lamela,MID,98,0,8,Leicester,261689,0,68,TRUE,10,0,0,0,2866,15648,98,0,0
249,2016-17,Fabian Delph,MID,100,0,19,West Brom,4392,0,47,FALSE,10,0,0,0,9,145,100,0,0
254,2016-17,Georginio Wijnaldum,MID,91,0.1,5,Crystal Palace,59264,1,76,FALSE,10,1.7,0,0,250,2436,91,0,15
255,2016-17,Granit Xhaka,MID,97,0,15,Sunderland,128068,0,52,FALSE,10,0,0,0,415,12834,97,0,0
256,2016-17,Gylfi Sigurdsson,MID,96,16.1,14,Stoke,140592,5,72,FALSE,10,82.8,36.4,42,5449,5105,96,3,90
258,2016-17,Harrison Reed,MID,95,0,4,Chelsea,2297,0,43,TRUE,10,0,0,0,148,89,95,0,0
261,2016-17,Harry Winks,MID,98,0,8,Leicester,678,1,45,TRUE,10,0.3,0,0,12,21,98,0,4
262,2016-17,Heung-Min Son,MID,98,6,8,Leicester,469659,1,76,TRUE,10,29.3,9.4,21,25297,74380,98,1,90
265,2016-17,Ilkay Gündogan,MID,100,21.5,19,West Brom,56516,18,54,FALSE,10,59.6,93.4,62,3885,4916,100,0,90
268,2016-17,Jack Cork,MID,96,0.2,14,Stoke,3443,1,48,FALSE,10,0,1.6,0,29,154,96,0,4
270,2016-17,Jack Wilshere,MID,94,9.8,12,Middlesbrough,32035,2,59,FALSE,10,77.2,17.2,4,1659,2492,94,2,90
271,2016-17,Jake Livermore,MID,99,1.1,18,Watford,4236,2,48,FALSE,10,4.4,3.8,3,126,188,99,1,90
272,2016-17,James McArthur,MID,91,11.4,9,Liverpool,41364,15,49,TRUE,10,3.7,72.4,38,1858,5374,91,4,85
273,2016-17,James McCarthy,MID,92,0,20,West Ham,6893,0,48,TRUE,10,0,0,0,27,150,92,0,0
274,2016-17,James Milner,MID,91,0,5,Crystal Palace,282024,0,67,FALSE,10,0,0,0,25618,49924,91,0,0
277,2016-17,James Ward-Prowse,MID,95,0,4,Chelsea,6910,0,51,TRUE,10,0,0,0,42,337,95,0,0
279,2016-17,Jarrod Bowen,MID,99,0.1,18,Watford,3295,1,45,FALSE,10,0.5,0,0,119,142,99,0,1
282,2016-17,Jeffrey Schlupp,MID,98,0.9,17,Spurs,9015,1,49,FALSE,10,1.8,2.8,4,62,242,98,0,23
283,2016-17,Jeff Hendrick,MID,93,0.9,11,Man Utd,2040,3,54,FALSE,10,2,4.6,2,79,222,93,0,90
