,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
36,2016-17,Salomón Rondón,FWD,18,0.29341317365269465,6,Everton,120339,2,65,True,2,0.17851500789889418,0.06510416666666667,0.42857142857142855,35071,5774,2,90,0.0,8.0,92
37,2016-17,Sergio Agüero,FWD,14,1.0,14,Stoke,1634994,13,130,False,2,0.21011058451816747,1.0,1.0,75648,12138,1,82,1.0,9.0,91
38,2016-17,Kelechi Iheanacho,FWD,14,0.281437125748503,14,Stoke,56367,4,69,False,2,0.32701421800947866,0.28645833333333337,0.05194805194805195,1526,13817,0,8,0.0,1.0,11
39,2016-17,Olivier Giroud,FWD,13,0.03592814371257485,8,Leicester,47277,1,90,False,2,0.023696682464454978,0.002604166666666667,0.05194805194805195,1969,9601,0,13,0.0,0.0,0
40,2016-17,Joshua King,FWD,20,0.281437125748503,20,West Ham,22971,2,55,False,2,0.07109004739336493,0.16145833333333334,0.38961038961038963,1046,1738,1,90,3.0,2.0,91
41,2016-17,Danny Ings,FWD,12,0.0,3,Burnley,20541,0,59,False,2,0.0,0.0,0.0,582,5392,0,0,0.0,0.0,0
42,2016-17,Jamie Vardy,FWD,13,0.32934131736526945,1,Arsenal,812594,2,100,True,2,0.320695102685624,0.0390625,0.4155844155844156,7182,108775,0,90,2.0,2.0,90
43,2016-17,Harry Kane,FWD,16,0.5209580838323353,5,Crystal Palace,629934,5,110,True,2,0.3759873617693523,0.2838541666666667,0.5324675324675324,13110,45227,0,89,1.0,2.0,90
44,2016-17,Divock Origi,FWD,12,0.023952095808383235,3,Burnley,188729,1,70,False,2,0.02053712480252765,0.0,0.05194805194805195,5923,41094,0,26,0.0,1.0,15
45,2016-17,Danny Welbeck,FWD,13,0.0,8,Leicester,2978,0,75,False,2,0.0,0.0,0.0,165,730,0,0,0.0,0.0,0
46,2016-17,Connor Wickham,FWD,16,0.19760479041916168,17,Spurs,39373,2,60,False,2,0.06319115323854661,0.234375,0.14285714285714285,1085,7658,1,90,1.0,2.0,91
47,2016-17,Christian Benteke,FWD,16,0.0,17,Spurs,85297,0,74,False,2,0.0,0.0,0.0,17642,7803,0,0,0.0,0.0,0
48,2016-17,Charlie Austin,FWD,11,0.023952095808383235,11,Man Utd,49294,1,64,False,2,0.02053712480252765,0.028645833333333336,0.0,795,15255,0,24,0.0,1.0,8
49,2016-17,Callum Wilson,FWD,20,0.11377245508982035,20,West Ham,100018,2,65,False,2,0.028436018957345974,0.04166666666666667,0.18181818181818182,3041,9037,0,74,4.090909090909091,2.0,66
50,2016-17,Ashley Fletcher,FWD,20,0.08383233532934131,2,Bournemouth,0,1,50,True,2,0.16271721958925753,0.026041666666666668,0.025974025974025976,0,0,0,11,0.0,0.0,0
51,2016-17,Ashley Barnes,FWD,12,0.0,9,Liverpool,3816,0,45,True,2,0.0,0.0,0.0,102,658,0,0,0.0,0.0,0
52,2016-17,Anthony Martial,FWD,11,0.23952095808383234,13,Southampton,318520,3,95,True,2,0.10110584518167458,0.0625,0.37662337662337664,55411,9208,0,81,1.0714285714285714,11.0,84
53,2016-17,Troy Deeney,FWD,17,0.029940119760479042,4,Chelsea,163897,1,70,True,2,0.022116903633491312,0.0,0.07792207792207792,6925,12505,2,90,1.0,5.0,92
54,2016-17,Jay Rodriguez,FWD,11,0.011976047904191617,11,Man Utd,15145,1,65,False,2,0.004739336492890996,0.0,0.025974025974025976,109,3374,0,7,0.0,0.0,0
55,2016-17,Andy Carroll,FWD,20,0.0,2,Bournemouth,300076,0,65,True,2,0.0,0.0,0.0,26457,17626,0,0,2.0,2.0,90
