,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
122,2016-17,Matt Targett,DEF,7,2.7,18,Watford,28863,2,45,TRUE,1,14.6,8.6,4,0,0,7,1,90
124,2016-17,Michael Keane,DEF,1,2.4,16,Swansea,33551,2,50,TRUE,1,4.5,15,4,0,0,1,1,90
129,2016-17,Nathaniel Clyne,DEF,8,6.5,1,Arsenal,285676,4,55,FALSE,1,18.2,30.2,17,0,0,8,3,90
130,2016-17,Nathan Aké,DEF,9,0,11,Man Utd,64564,0,45,TRUE,1,0,0,0,0,0,9,0,0
132,2016-17,Neil Taylor,DEF,1,0,3,Burnley,43169,0,45,FALSE,1,0,0,0,0,0,1,0,0
135,2016-17,Nicolás Otamendi,DEF,5,0,15,Sunderland,100825,0,60,TRUE,1,0,0,0,0,0,5,0,0
137,2016-17,Ola Aina,DEF,10,0,20,West Ham,5139,0,50,TRUE,1,0,0,0,0,0,10,0,0
138,2016-17,Oleksandr Zinchenko,DEF,5,0,15,Sunderland,2654,0,55,TRUE,1,0,0,0,0,0,5,0,0
141,2016-17,Patrick van Aanholt,DEF,5,3,10,Man City,203011,1,50,FALSE,1,8.3,15,7,0,0,5,2,90
144,2016-17,Phil Bardsley,DEF,6,3.1,12,Middlesbrough,5064,1,45,FALSE,1,15.7,6.8,8,0,0,6,1,90
145,2016-17,Phil Jagielka,DEF,3,5.9,17,Spurs,34993,2,50,TRUE,1,0.2,40,19,0,0,3,1,90
146,2016-17,Phil Jones,DEF,9,0,2,Bournemouth,11445,0,50,FALSE,1,0,0,0,0,0,9,0,0
150,2016-17,Robert Kenedy Nunes do Nascimento,DEF,10,0,20,West Ham,1285,0,55,TRUE,1,0,0,0,0,0,10,0,0
153,2016-17,Rob Holding,DEF,8,3.1,9,Liverpool,32839,0,45,TRUE,1,0.4,21,10,0,0,8,4,90
157,2016-17,Ryan Bertrand,DEF,7,0,18,Watford,28380,0,55,TRUE,1,0,0,0,0,0,7,0,0
160,2016-17,Sam Byram,DEF,10,1.9,4,Chelsea,25277,1,45,FALSE,1,0.1,18.6,0,0,0,10,1,39
162,2016-17,Scott Dann,DEF,2,2.5,19,West Brom,263652,2,55,TRUE,1,0.8,18.4,6,0,0,2,1,90
163,2016-17,Seamus Coleman,DEF,3,0,17,Spurs,110643,0,55,TRUE,1,0,0,0,0,0,3,0,0
168,2016-17,Timothy Fosu-Mensah,DEF,9,0,2,Bournemouth,8788,0,45,FALSE,1,0,0,0,0,0,9,0,0
169,2016-17,Toby Alderweireld,DEF,3,3.3,6,Everton,771977,2,65,FALSE,1,1.3,13.2,18,0,0,3,1,90
173,2016-17,Trent Alexander-Arnold,DEF,8,0,1,Arsenal,0,0,45,FALSE,1,0,0,0,0,0,8,0,0
175,2016-17,Tyrone Mings,DEF,9,0,11,Man Utd,933,0,45,TRUE,1,0,0,0,0,0,9,0,0
176,2016-17,Virgil van Dijk,DEF,7,2.2,18,Watford,456854,1,55,TRUE,1,0.4,17.2,4,0,0,7,1,90
178,2016-17,Wes Morgan,DEF,4,1.9,7,Hull,862987,1,50,FALSE,1,10.4,4.6,4,0,0,4,2,90
182,2016-17,Winston Reid,DEF,10,1.6,4,Chelsea,68561,1,50,FALSE,1,0,16.4,0,0,0,10,2,90
184,2016-17,Aaron Cresswell,DEF,92,1.3,6,Everton,12638,1,53,FALSE,10,7.9,5.4,0,2697,265,92,2,90
192,2016-17,Ainsley Maitland-Niles,DEF,97,0.2,15,Sunderland,20,1,45,FALSE,10,0,2.2,0,5,1,97,0,2
196,2016-17,Alfie Mawson,DEF,96,3.2,14,Stoke,762,-1,45,FALSE,10,0.3,31.2,0,349,25,96,3,90
198,2016-17,Andrew Robertson,DEF,99,0,18,Watford,48294,0,44,FALSE,10,0,0,0,11,8833,99,0,0
202,2016-17,Angelo Ogbonna,DEF,92,3.4,6,Everton,35940,1,48,FALSE,10,11.1,22.8,0,1084,637,92,2,90
204,2016-17,Arthur Masuaku,DEF,92,0,6,Everton,8142,0,48,FALSE,10,0,0,0,3,642,92,0,0
207,2016-17,Ashley Young,DEF,93,0,3,Burnley,2672,0,52,TRUE,10,0,0,0,79,106,93,0,0
209,2016-17,Benjamin Chilwell,DEF,98,0,17,Spurs,6048,0,43,FALSE,10,0,0,0,25,270,98,0,0
210,2016-17,Ben Davies,DEF,98,0,8,Leicester,11191,0,49,TRUE,10,0,0,0,167,888,98,0,0
212,2016-17,Ben Gibson,DEF,94,2,2,Bournemouth,167647,6,46,TRUE,10,0.1,19.4,0,9143,3106,94,0,90
213,2016-17,Ben Mee,DEF,93,4.1,11,Man Utd,32716,6,45,FALSE,10,0.3,38.8,2,1365,1183,93,0,90
214,2016-17,Branislav Ivanovic,DEF,95,0.1,13,Southampton,159292,1,58,FALSE,10,0.8,0.6,0,82,14711,95,0,4
216,2016-17,Calum Chambers,DEF,94,3.2,2,Bournemouth,119338,5,44,TRUE,10,0.1,31.6,0,617,3359,94,0,90
217,2016-17,Cameron Carter-Vickers,DEF,98,0,8,Leicester,1625,0,44,TRUE,10,0,0,0,24,60,98,0,0
222,2016-17,Christian Fuchs,DEF,98,2.8,17,Spurs,315049,2,54,FALSE,10,15.4,10.6,2,10209,5405,98,1,90
223,2016-17,Christian Kabasele,DEF,99,0.1,7,Hull,2132,1,48,TRUE,10,0,0.6,0,34,88,99,0,4
224,2016-17,Chris Smalling,DEF,93,0,3,Burnley,55630,0,59,TRUE,10,0,0,0,1279,3424,93,0,0
227,2016-17,Craig Cathcart,DEF,99,0,7,Hull,11758,0,44,TRUE,10,0,0,0,9,1103,99,0,0
228,2016-17,Craig Dawson,DEF,100,1.1,10,Man City,72359,-1,49,TRUE,10,1.1,10.2,0,201,2886,100,4,90
229,2016-17,Cédric Soares,DEF,95,0,4,Chelsea,50542,0,49,TRUE,10,0,0,0,139,6456,95,0,0
230,2016-17,César Azpilicueta,DEF,95,3.4,13,Southampton,446088,8,60,FALSE,10,1.7,31.8,0,14441,5108,95,0,90
231,2016-17,Daniel Amartey,DEF,98,0,17,Spurs,7817,0,45,FALSE,10,0,0,0,295,746,98,0,0
234,2016-17,Danny Rose,DEF,98,7.9,8,Leicester,230225,1,59,TRUE,10,23.3,25.8,30,9572,2494,98,1,90
239,2016-17,David Luiz Moreira Marinho,DEF,95,4.5,13,Southampton,54435,6,60,FALSE,10,14.3,28.8,2,6442,1364,95,0,90
240,2016-17,DeAndre Yedlin,DEF,98,0,8,Leicester,8196,0,44,TRUE,10,0,0,0,3,182,98,0,0
245,2016-17,Eric Bailly,DEF,93,0,3,Burnley,398855,0,54,TRUE,10,0,0,0,2706,152788,93,0,0
246,2016-17,Eric Dier,DEF,98,1.8,8,Leicester,232131,2,52,TRUE,10,0.5,13.2,4,616,7592,98,1,90
248,2016-17,Erik Pieters,DEF,96,0.5,16,Swansea,165011,1,44,TRUE,10,0.6,3.6,1,21673,1711,96,1,90
250,2016-17,Federico Fernández,DEF,96,0,14,Stoke,66231,0,44,FALSE,10,0,0,0,83,2766,96,0,0
251,2016-17,Fernando Luiz Rosa,DEF,100,6.1,19,West Brom,88078,3,54,FALSE,10,33.1,21,7,1569,5190,100,0,90
253,2016-17,Gary Cahill,DEF,95,0.9,13,Southampton,232814,6,59,FALSE,10,1.4,7.8,0,42260,1623,95,0,90
260,2016-17,Harry Maguire,DEF,99,2.5,18,Watford,1619,2,44,FALSE,10,0.4,24.2,0,38,95,99,1,90
264,2016-17,Héctor Bellerín,DEF,97,3.4,15,Sunderland,1122995,2,66,FALSE,10,23.4,11,0,31412,5441,97,1,90
269,2016-17,Jack Stephens,DEF,95,0,4,Chelsea,15093,0,40,TRUE,10,0,0,0,252,352,95,0,0
275,2016-17,James Tarkowski,DEF,93,0,11,Man Utd,65487,0,40,FALSE,10,0,0,0,5303,1625,93,0,0
276,2016-17,James Tomkins,DEF,91,2.4,9,Liverpool,4753,0,50,TRUE,10,0.2,23.6,0,94,272,91,4,90
280,2016-17,Javier Manquillo,DEF,97,0,1,Arsenal,1914,0,45,TRUE,10,0,0,0,66,131,97,0,0
285,2016-17,Joel Matip,DEF,91,6.6,5,Crystal Palace,76671,7,54,FALSE,10,0.7,48.6,17,4002,2085,91,2,90
286,2016-17,Joel Ward,DEF,91,1.7,9,Liverpool,36494,0,49,TRUE,10,1.9,15,0,327,1993,91,4,90
289,2016-17,John Stones,DEF,100,3.7,19,West Brom,1037589,7,50,FALSE,10,11.2,18.8,7,10287,39807,100,0,90
291,2016-17,Jonny Evans,DEF,100,2.1,10,Man City,299040,0,45,TRUE,10,0.5,20,0,1045,10622,100,4,90
294,2016-17,Joseph Gomez,DEF,91,0,5,Crystal Palace,1111,0,49,FALSE,10,0,0,0,21,28,91,0,0
300,2016-17,Kevin Long,DEF,93,0,11,Man Utd,854,0,40,FALSE,10,0,0,0,606,83,93,0,0
301,2016-17,Kieran Gibbs,DEF,97,8.9,15,Sunderland,21322,4,48,FALSE,10,39.4,37.8,12,283,701,97,1,90
302,2016-17,Kieran Trippier,DEF,98,0,8,Leicester,4152,0,48,TRUE,10,0,0,0,44,114,98,0,0
303,2016-17,Kurt Zouma,DEF,95,0,13,Southampton,8024,0,54,FALSE,10,0,0,0,78,152,95,0,0
304,2016-17,Kyle Walker,DEF,98,7.2,8,Leicester,1564263,3,61,TRUE,10,37.8,32.6,2,45842,7681,98,1,90
307,2016-17,Luke Shaw,DEF,93,1.8,3,Burnley,541175,6,54,TRUE,10,5.9,8.8,3,6286,37211,93,0,90
309,2016-17,Mamadou Sakho,DEF,91,0,5,Crystal Palace,3686,0,47,FALSE,10,0,0,0,22,81,91,0,0
311,2016-17,Marcos Alonso,DEF,95,2.1,13,Southampton,20523,6,59,FALSE,10,2.4,16,3,12759,461,95,0,90
312,2016-17,Marcos Rojo,DEF,93,3.7,3,Burnley,14329,6,52,TRUE,10,11.3,16.8,9,650,308,93,0,90
316,2016-17,Martin Kelly,DEF,91,1.5,9,Liverpool,34922,0,44,TRUE,10,1.7,13.4,0,268,2279,91,4,90
317,2016-17,Mason Holgate,DEF,92,0,20,West Ham,144208,0,42,TRUE,10,0,0,0,845,14607,92,0,0
319,2016-17,Matthew Lowton,DEF,93,3.3,11,Man Utd,28142,6,45,FALSE,10,5.8,26.8,0,301,1165,93,0,90
